DATE,OPEN,HIGH,LOW,CLOSE
03/10/23,32185.14,32422.1,31783.41,31909.64
03/09/23,32876.83,32990.46,32190.6,32254.86
03/08/23,32872.08,32903.44,32612.7,32798.4
03/07/23,33428.31,33453.25,32838.21,32856.46
03/06/23,33425.32,33572.22,33383.47,33431.44
